date,tge,usdtry,cpi,ipi,unemployment,bist
2023-10-01,74.62,27.79603182,1749.11,107.03318066,8.5,7514.1
2023-11-01,75.47,28.58558636,1806.5,105.05448634,8.9,7948.6
2023-12-01,77.42,29.0225619,1859.38,107.30958724,8.9,7470.18
2024-01-01,80.42310949,29.9997,1984.02,107.72119687,9.2,8496.66
2024-02-01,79.34287272,30.70415238,2073.88,110.93720793,8.7,9193.69
2024-03-01,79.35478993,31.92921905,2139.47,109.34975545,8.8,9142.4
2024-04-01,80.46085072,32.27132778,2207.5,104.73726309,8.6,10045.74
2024-05-01,80.50803678,32.18989545,2281.85,106.45286262,8.5,10400.48
2024-06-01,78.30087847,32.46274706,2319.29,104.08860555,9.1,10647.91
2024-07-01,75.87954525,32.83532727,2394.1,104.86741607,9.0,10638.58
2024-08-01,76.36547339,33.56078095,2453.34,103.26725052,8.5,9833.22
2024-09-01,78.22093197,33.96927143,2526.16,104.91866698,8.5,9665.78
2024-10-01,80.55364561,34.17101818,2598.91,104.17386141,8.7,8863.88
2024-11-01,79.77236914,34.36471429,2657.23,107.04520765,8.4,9652.0
2024-12-01,81.27129334,34.90382273,2684.55,112.61675096,8.6,9830.56
2025-01-01,80.96201449,35.45595909,2819.65,109.37384911,8.6,10004.38
2025-02-01,82.07125469,36.09402,2883.75,107.56470022,8.3,9658.72
2025-03-01,85.85941588,36.970675,2954.69,111.17895661,8.1,9659.48
2025-04-01,83.86290602,38.021785,3043.23,107.44556573,8.7,9078.43
2025-05-01,84.79218744,38.685355,3089.74,110.9148502,8.4,9019.57
2025-06-01,85.06417614,39.33922632,3132.17,111.61183775,8.5,9948.51
2025-07-01,83.51878976,40.10610455,3196.66,109.66680108,8.1,10743.2
2025-08-01,84.2505225,40.72830952,3261.72,110.23026149,8.5,11288.05
2025-09-01,83.87427161,41.21921364,3367.22,108.11251842,8.5,11012.12
2025-10-01,83.62820392,41.73025,3453.09,107.14967353,8.4,10971.52
2025-11-01,84.98021374,42.17916,3482.96,109.87524005,8.5,10898.7
2025-12-01,83.48995007,42.58609565,3513.87,111.22555935,7.7,11261.52
