date,tge_sa
2004-01-01,98.1773149
2004-02-01,98.6773149
2004-03-01,97.7773149
2004-04-01,97.7773149
2004-05-01,94.0291719
2004-06-01,93.39815089999999
2004-07-01,92.1653479
2004-08-01,88.0216829
2004-09-01,89.6272189
2004-10-01,90.48393089999999
2004-11-01,89.47776490000001
2004-12-01,91.9449309
2005-01-01,92.2047929
2005-02-01,91.9920329
2005-03-01,88.82916789999999
2005-04-01,87.13324789999999
2005-05-01,87.1194529
2005-06-01,85.8298216
2005-07-01,86.00341929999999
2005-08-01,84.24079699999999
2005-09-01,82.283086
2005-10-01,84.834251
2005-11-01,86.3122229
2005-12-01,86.2300299
2006-01-01,88.5155489
2006-02-01,87.8809569
2006-03-01,88.47239490000001
2006-04-01,89.0438129
2006-05-01,86.84759890000001
2006-06-01,78.9469384
2006-07-01,75.3758808
2006-08-01,78.1822818
2006-09-01,78.1384827
2006-10-01,78.34119530000001
2006-11-01,80.1229869
2006-12-01,78.81901680000001
2007-01-01,78.5818361
2007-02-01,79.52058640000001
2007-03-01,79.2199675
2007-04-01,80.44061049999999
2007-05-01,81.73251819999999
2007-06-01,80.94964630000001
2007-07-01,82.27059550000001
2007-08-01,85.02440920000001
2007-09-01,83.8850171
2007-10-01,82.97529410000001
2007-11-01,79.29751669999999
2007-12-01,80.6667435
2008-01-01,78.89266040000001
2008-02-01,74.3768335
2008-03-01,68.73903960000001
2008-04-01,63.013179400000006
2008-05-01,62.138995099999995
2008-06-01,61.791559799999995
2008-07-01,63.786431799999995
2008-08-01,66.6268843
2008-09-01,67.4979745
2008-10-01,61.0170364
2008-11-01,55.6573538
2008-12-01,56.676348
2009-01-01,58.3345486
2009-02-01,60.783764
2009-03-01,61.550822200000006
2009-04-01,67.5312543
2009-05-01,70.053371
2009-06-01,72.04607179999999
2009-07-01,69.14556479999999
2009-08-01,68.07911229999999
2009-09-01,68.7013426
2009-10-01,67.23681020000001
2009-11-01,65.15524060000001
2009-12-01,65.56780850000001
2010-01-01,66.01315790000001
2010-02-01,68.62610939999999
2010-03-01,71.51900599999999
2010-04-01,72.573485
2010-05-01,73.35763019999999
2010-06-01,74.8151067
2010-07-01,74.2544873
2010-08-01,74.12879079999999
2010-09-01,77.18491879999999
2010-10-01,75.7945646
2010-11-01,78.11508370000001
2010-12-01,77.7659698
2011-01-01,78.06266600000001
2011-02-01,80.3401637
2011-03-01,80.1773149
2011-04-01,80.23517609999999
2011-05-01,79.6282243
2011-06-01,83.19333700000001
2011-07-01,81.6110396
2011-08-01,78.52132470000001
2011-09-01,80.4738788
2011-10-01,76.50550609999999
2011-11-01,77.817545
2011-12-01,78.82046299999999
2012-01-01,78.5977222875675
2012-02-01,79.5239387287968
2012-03-01,79.2316910984156
2012-04-01,75.3476181984575
2012-05-01,77.8154801577293
2012-06-01,76.6554896443683
2012-07-01,76.6960691655417
2012-08-01,74.4039899724005
2012-09-01,72.7730954952207
2012-10-01,69.6506527074209
2012-11-01,72.9572744796068
2012-12-01,73.9561326608399
2013-01-01,75.3839800230889
2013-02-01,76.5531984325149
2013-03-01,74.8321808488539
2013-04-01,75.2183245721181
2013-05-01,77.1719537877981
2013-06-01,76.1209540404765
2013-07-01,78.1323942527206
2013-08-01,77.2032492327548
2013-09-01,72.7557606575385
2013-10-01,75.8236622569579
2013-11-01,77.8432293690324
2013-12-01,75.3538662137823
2014-01-01,71.9767968416388
2014-02-01,69.1531620916307
2014-03-01,72.6691179291976
2014-04-01,78.0568165733371
2014-05-01,75.7310929047566
2014-06-01,73.6020806242886
2014-07-01,73.5786558613755
2014-08-01,73.2203472215796
2014-09-01,74.588584607047
2014-10-01,70.6030669118325
2014-11-01,69.0068494155097
2014-12-01,68.1513651482396
2015-01-01,67.3392162631948
2015-02-01,67.9868176895104
2015-03-01,64.3772996028337
2015-04-01,64.9145290632477
2015-05-01,64.0218203776326
2015-06-01,66.3459975970632
2015-07-01,64.3335371286011
2015-08-01,62.2979747070586
2015-09-01,59.1408400364002
2015-10-01,63.0560599058469
2015-11-01,77.4967089264701
2015-11-01,22.9012866363447
2015-12-01,74.0110385073951
2016-01-01,71.2643024490788
2016-02-01,66.5739713790214
2016-03-01,66.9938657161391
2016-04-01,67.992628589793
2016-05-01,68.4675439227213
2016-06-01,69.3074598678936
2016-07-01,66.6838273463014
2016-08-01,74.35136182863221
2016-09-01,74.8974608473627
2016-10-01,74.3153904156513
2016-11-01,69.3080230776296
2016-12-01,63.8691712981255
2017-01-01,66.605633655508
2017-02-01,65.6724218964394
2017-03-01,67.8033948132991
2017-04-01,70.7798728330336
2017-05-01,72.4778084844042
2017-06-01,69.8675822050624
2017-07-01,70.9497560332978
2017-08-01,71.0188239016712
2017-09-01,69.3321184634861
2017-10-01,67.6333568900494
2017-11-01,65.5753452819436
2017-12-01,65.6352645501537
2018-01-01,72.0233745433538
2018-02-01,72.1975888149316
2018-03-01,71.2934487543462
2018-04-01,71.3627555122912
2018-05-01,69.5453817025139
2018-06-01,70.1386854377839
2018-07-01,72.6794959384964
2018-08-01,68.1691194511929
2018-09-01,59.9462272516554
2018-10-01,57.5973632552953
2018-11-01,60.0168462109983
2018-12-01,58.7223140858192
2019-01-01,58.2025421193572
2019-02-01,57.7929142744584
2019-03-01,59.4457858647032
2019-04-01,63.5372450685952
2019-05-01,55.2828702141101
2019-06-01,57.6347799710764
2019-07-01,56.489158190616
